Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Filip Adamski,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Luca Agamennoni,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Heba Ahmed,F,Egypt,EGY,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Kamel Daoud,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Buffy-Lynne Alexander-williams,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Wyatt Allen,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Thiago Almeida,M,Brazil,BRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Michael Altman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Catello Amarante,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Salvatore Amitrano,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Olaf Andel,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Mads Andersen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Jitka Antoov,F,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Richard Archibald,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Carla Ashford,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Julien Bahain,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Natalie Bale,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Sophie Balmary,F,France,FRA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
David Banks,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
