Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Aquil (shumate-),M,United States,USA,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Morten Adamsen,M,Norway,NOR,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Filip Adamski,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Luca Agamennoni,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Luca Agamennoni,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Heba Ahmed,F,Egypt,EGY,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Christian Ahrens,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Mohamed Al-aich,M,Algeria,ALG,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Kamel Daoud,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Buffy-Lynne Alexander-williams,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Buffy-Lynne Alexander-williams,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Wyatt Allen,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Wyatt Allen,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Thiago Almeida,M,Brazil,BRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Michael Altman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Rubn Hoyos,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Catello Amarante,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Catello Amarante,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Salvatore Amitrano,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Salvatore Amitrano,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Olaf Andel,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Mads Andersen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Jitka Antoov,F,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Richard Archibald,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Richard Archibald,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mario Puente,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Armando Carrera,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Carla Ashford,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Luk Baba,M,Slovakia,SVK,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Nenad Babovi,M,Serbia and Montenegro,SCG,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Cameron Baerg,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Fours,Silver
Julien Bahain,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Natalie Bale,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Sophie Balmary,F,France,FRA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Sophie Balmary,F,France,FRA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
David Banks,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Enik Barabs-mironcic,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Michiel Bartman,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Gabriella Bascelli,F,Italy,ITA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Gabriella Bascelli,F,Italy,ITA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Eider Vargas,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Jonathan Beare,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Jonathan Beare,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Anna Bebington-watkins,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Double Sculls,Bronze
Andreas Bech,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Daniel Beery,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
